ID,label_1,label_2,label_3,label_4
1,26,22,0,2
2,5,25,1,6
3,16,30,1,6
4,7,25,1,6
5,58,29,0,6
6,46,30,1,6
7,7,27,1,6
8,22,33,1,6
9,29,24,1,6
10,26,22,0,2
11,33,26,1,6
12,6,25,1,6
13,54,27,1,6
14,51,26,1,6
15,29,27,1,8
16,48,26,1,6
17,23,28,1,6
18,2,25,1,6
19,52,34,0,6
20,42,29,1,0
21,11,33,1,6
22,35,24,1,2
23,39,29,1,6
24,36,22,0,6
25,44,61,1,6
26,48,26,1,6
27,28,28,0,6
28,55,23,1,6
29,2,25,1,6
30,51,26,1,6
31,55,30,1,6
32,31,30,1,6
33,1,30,1,6
34,56,24,0,6
35,45,28,1,6
36,22,33,1,6
37,50,24,1,6
38,6,25,1,6
39,40,26,1,6
40,18,25,1,8
41,19,23,1,4
42,47,23,0,3
43,6,25,1,6
44,46,30,1,6
45,59,31,0,6
46,25,31,1,1
47,31,29,1,6
48,38,32,1,12
49,5,31,1,6
50,32,23,1,0
51,25,22,0,1
52,56,24,0,6
53,39,29,1,6
54,37,30,1,7
55,32,23,1,0
56,29,24,1,6
57,54,30,1,6
58,52,34,0,5
59,28,22,0,6
60,34,27,1,6
61,16,30,1,6
62,47,22,0,5
63,55,23,1,6
64,24,25,1,2
65,23,28,1,6
66,18,30,1,8
67,20,25,1,6
68,6,25,1,6
69,36,22,0,6
70,38,32,1,12
71,22,33,1,6
72,28,28,0,6
73,44,61,1,6
74,46,30,1,6
75,55,23,1,6
76,59,23,0,6
77,49,26,1,6
78,25,27,1,6
79,57,27,0,6
80,12,26,0,6
81,52,34,0,5
82,38,32,1,12
83,29,23,1,6
84,4,27,1,6
85,31,27,1,6
86,49,23,1,6
87,14,31,1,12
88,19,23,1,4
89,12,26,0,6
90,41,29,1,6
91,36,22,0,6
92,43,31,0,6
93,34,25,1,6
94,32,23,1,0
95,54,27,1,6
96,46,30,1,6
97,34,31,1,12
98,5,25,1,6
99,7,27,1,6
100,42,29,1,0
101,19,23,1,4
102,26,22,0,2
103,31,26,1,6
104,36,22,0,6
105,53,24,1,6
106,10,36,1,6
107,12,26,0,6
108,33,26,1,6
109,38,32,1,12
110,2,25,1,6
111,57,27,0,6
112,17,23,1,2
113,17,26,1,6
114,50,27,1,6
115,46,30,1,6
116,46,30,1,6
117,17,23,1,6
118,34,26,1,6
119,32,23,1,0
120,40,26,1,6
121,19,23,1,4
122,40,26,1,6
123,8,41,1,7
124,22,33,1,6
125,38,32,1,12
126,15,28,1,9
127,39,29,1,6
128,9,35,1,11
129,52,34,0,5
130,37,27,1,6
131,28,23,0,6
132,13,27,1,6
133,10,36,1,6
134,55,23,1,6
135,28,28,0,6
136,25,22,1,1
137,42,29,1,6
138,57,34,0,5
139,16,30,1,6
140,27,31,1,7
141,50,31,1,6
142,3,27,1,6
143,51,23,1,6
144,27,31,1,7
145,32,26,1,0
146,46,30,1,6
147,16,30,1,6
148,53,24,1,6
149,11,33,1,6
150,46,30,1,6
151,42,29,1,0
152,37,27,1,7
153,47,31,0,3
154,50,24,1,6
155,3,31,1,6
156,41,30,1,10
157,19,23,1,4
158,20,26,1,6
159,15,28,1,9
160,8,41,1,6
161,3,31,1,6
162,18,25,1,8
163,5,25,1,6
164,28,28,0,6
165,46,30,1,6
166,49,31,1,6
167,16,30,1,6
168,40,26,1,6
169,17,26,1,6
170,20,26,1,6
171,53,24,1,8
172,57,24,0,6
173,7,32,1,12
174,16,30,1,6
175,11,33,1,6
176,35,31,1,2
177,34,25,1,6
178,52,34,0,5
179,41,30,1,10
180,55,23,1,6
181,7,27,1,6
182,18,23,1,8
183,21,26,1,6
184,19,23,1,4
185,37,24,1,7
186,55,23,1,6
187,21,27,1,6
188,28,28,0,6
189,23,28,1,6
190,35,24,1,2
191,46,30,1,6
192,52,34,0,5
193,30,28,1,6
194,27,31,1,7
